Time,GeneralEvent,Forehead_Acc_X,Forehead_Acc_Y,Forehead_Acc_Z,Forehead_Gyr_X,Forehead_Gyr_Y,Forehead_Gyr_Z
2.17 sec,Standing,1.189897,-9.710193,0.184053,0.085348,0.020586,0.012908
2.18 sec,Standing,1.228298,-9.75424,0.199323,0.085736,0.014238,0.017345
2.19 sec,Standing,1.272132,-9.7683,0.198729,0.085681,0.010886,0.024266
2.2 sec,Standing,1.285856,-9.724552,0.221156,0.084111,0.00763,0.025362
2.21 sec,Standing,1.26029,-9.717706,0.233636,0.077392,0.006026,0.028298
2.22 sec,Standing,1.2347,-9.710846,0.245731,0.076931,0.004258,0.025973
2.23 sec,Standing,1.249537,-9.747939,0.264653,0.07525,0.004975,0.016426
2.24 sec,Standing,1.201975,-9.733878,0.281266,0.079283,0.001836,0.017995
2.25 sec,Standing,1.185499,-9.704847,0.300513,0.080987,-0.000305,0.015768
2.26 sec,Standing,1.167293,-9.667766,0.296564,0.076114,-0.001023,0.01141
2.27 sec,Standing,1.199548,-9.660699,0.329048,0.071763,-0.005057,0.006436
2.28 sec,Standing,1.186307,-9.639449,0.370047,0.066973,-0.00609,0.003937
2.29 sec,Standing,1.171512,-9.610177,0.387252,0.056569,-0.012022,-0.003773
2.3 sec,Standing,1.221629,-9.586234,0.34397,0.047693,-0.013245,-0.000893
2.31 sec,Standing,1.203069,-9.594828,0.39852,0.040968,-0.019622,-0.002679
2.32 sec,Standing,1.253097,-9.570995,0.3535,0.02993,-0.020474,0.000119
2.33 sec,Standing,1.24735,-9.60077,0.371889,0.021628,-0.02169,-0.004567
2.34 sec,Standing,1.231513,-9.644655,0.359566,0.011487,-0.023771,-0.001937
2.35 sec,Standing,1.261076,-9.702756,0.337715,0.011438,-0.027091,0.005021
2.36 sec,Standing,1.252012,-9.643815,0.33357,0.01098,-0.028869,0.002725
2.37 sec,Standing,1.232691,-9.598994,0.299245,0.004274,-0.030461,0.005714
2.38 sec,Standing,1.232911,-9.680007,0.29699,-0.00349,-0.030208,0.005179
2.39 sec,Standing,1.215663,-9.643126,0.284174,-0.012006,-0.034129,0.00376
2.4 sec,Standing,1.199121,-9.687186,0.269212,-0.007678,-0.03487,0.003932
2.41 sec,Standing,1.203132,-9.703066,0.31342,-0.019923,-0.041672,0.003567
2.42 sec,Standing,1.178061,-9.688174,0.292416,-0.022633,-0.042771,-0.000672
2.43 sec,Standing,1.219851,-9.659209,0.321602,-0.024826,-0.047185,-0.005535
2.44 sec,Standing,1.248029,-9.70941,0.272506,-0.031784,-0.04785,-0.0081
2.45 sec,Standing,1.243068,-9.739292,0.285004,-0.031872,-0.047539,-0.009962
2.46 sec,Standing,1.283268,-9.702366,0.290237,-0.033579,-0.045391,-0.007764
2.47 sec,Standing,1.259096,-9.687375,0.267537,-0.04389,-0.046852,-0.00883
2.48 sec,Standing,1.289647,-9.745432,0.240001,-0.039273,-0.045195,-0.010077
2.49 sec,Standing,1.268095,-9.738316,0.240103,-0.042596,-0.042664,-0.015543
2.5 sec,Standing,1.31551,-9.752307,0.226035,-0.043494,-0.041434,-0.015375
2.51 sec,Standing,1.360741,-9.758286,0.188981,-0.042314,-0.040264,-0.016972
2.52 sec,Standing,1.354333,-9.780105,0.177521,-0.042169,-0.032466,-0.0173
2.53 sec,Standing,1.410036,-9.772016,0.170664,-0.037691,-0.025407,-0.017456
2.54 sec,Standing,1.384482,-9.74879,0.125284,-0.041448,-0.019871,-0.020429
2.55 sec,Standing,1.399865,-9.823557,0.171537,-0.039048,-0.012755,-0.018813
2.56 sec,Standing,1.424667,-9.830363,0.162688,-0.042341,-0.005447,-0.01948
2.57 sec,Standing,1.374542,-9.765158,0.186689,-0.036808,-0.001673,-0.027848
2.58 sec,Standing,1.412648,-9.792757,0.143816,-0.036434,0.000413,-0.027402
2.59 sec,Standing,1.445499,-9.696509,0.144934,-0.03606,0.002499,-0.026955
2.6 sec,Standing,1.458134,-9.68232,0.17091,-0.044891,0.006028,-0.019261
2.61 sec,Standing,1.46505,-9.805911,0.122466,-0.048297,0.010305,-0.014829
2.62 sec,Standing,1.445521,-9.806909,0.145894,-0.041675,0.013653,-0.007932
2.63 sec,Standing,1.433374,-9.812681,0.089255,-0.041644,0.018418,-0.003141
2.64 sec,Standing,1.418788,-9.783761,0.097595,-0.032226,0.021117,-0.001889
2.65 sec,Standing,1.406059,-9.789557,0.042051,-0.030924,0.026739,0.003176
2.66 sec,Standing,1.372481,-9.7965,0.014478,-0.026826,0.031716,0.002593
2.67 sec,Standing,1.351627,-9.797686,0.039952,-0.026541,0.034119,0.001193
2.68 sec,Standing,1.312616,-9.834625,0.02876,-0.022994,0.037646,-0.003547
2.69 sec,Standing,1.274007,-9.871507,0.017993,-0.017566,0.038404,-0.006804
2.7 sec,Standing,1.267186,-9.893294,0.010063,-0.010545,0.032583,-0.018928
2.71 sec,Standing,1.245969,-9.886131,0.014239,-0.007682,0.028269,-0.015782
2.72 sec,Standing,1.278953,-9.870871,0.016359,-0.00265,0.022183,-0.02429
2.73 sec,Standing,1.299246,-9.834842,0.053561,0.003016,0.018632,-0.015039
2.74 sec,Standing,1.31565,-9.863521,0.042529,0.006231,0.011642,-0.01623
2.75 sec,Standing,1.333106,-9.819426,0.057731,0.015686,0.005909,-0.010953
2.76 sec,Standing,1.367247,-9.81238,0.084497,0.014215,0.00233,-0.007982
2.77 sec,Standing,1.388688,-9.811078,0.058442,0.016994,-0.001666,-0.006679
2.78 sec,Standing,1.399127,-9.797195,0.09011,0.019071,-0.000309,0.003308
2.79 sec,Standing,1.443562,-9.730178,0.085552,0.022967,0.001951,0.005978
2.8 sec,Standing,1.422046,-9.731449,0.115065,0.015216,0.006956,0.010229
2.81 sec,Standing,1.436047,-9.760453,0.105267,0.020123,0.011026,0.007617
2.82 sec,Standing,1.389409,-9.746668,0.116572,0.017058,0.01262,0.007706
2.83 sec,Standing,1.390888,-9.754838,0.141505,0.019884,0.01674,0.006853
2.84 sec,Standing,1.357133,-9.76182,0.118625,0.023521,0.01995,0.003965
2.85 sec,Standing,1.327939,-9.784941,0.142138,0.029784,0.024562,0.003472
2.86 sec,Standing,1.333907,-9.754839,0.129362,0.028981,0.024057,-0.006246
2.87 sec,Standing,1.358421,-9.688837,0.153214,0.024665,0.029558,-0.001642
2.88 sec,Standing,1.358733,-9.688748,0.156071,0.026287,0.027737,-0.005713
2.89 sec,Standing,1.323563,-9.660825,0.197736,0.01799,0.031291,-0.005631
2.9 sec,Standing,1.315949,-9.6827,0.19284,0.016432,0.028031,-0.004507
2.91 sec,Standing,1.306099,-9.69655,0.164532,0.009271,0.024646,-0.003838
2.92 sec,Standing,1.295688,-9.683675,0.223097,0.007798,0.021071,-0.000859
2.93 sec,Standing,1.241673,-9.691758,0.226013,0.00162,0.016144,0.001485
2.94 sec,Standing,1.264148,-9.698765,0.221426,-0.005288,0.011813,0.007714
2.95 sec,Standing,1.257723,-9.728873,0.23682,-0.009636,0.007778,0.002741
2.96 sec,Standing,1.249381,-9.750911,0.228931,-0.010667,0.001205,0.00324
2.97 sec,Standing,1.269663,-9.749906,0.200011,-0.01766,-0.00281,0.007614
2.98 sec,Standing,1.306946,-9.785888,0.182046,-0.019623,0.000273,0.004266
2.99 sec,Standing,1.296509,-9.799866,0.150279,-0.018522,0.001763,0.000833
3 sec,Standing,1.312669,-9.755941,0.162462,-0.018318,0.00448,-0.00242
3.01 sec,Standing,1.311699,-9.828797,0.135246,-0.017946,0.006566,-0.00197
3.02 sec,Standing,1.333066,-9.82761,0.106419,-0.009985,0.004274,-0.009457
3.03 sec,Standing,1.304276,-9.769656,0.128862,-0.005973,0.00957,-0.01189
3.04 sec,Standing,1.336595,-9.754451,0.130804,-0.00614,0.010202,-0.015596
3.05 sec,Standing,1.319402,-9.763471,0.180972,-0.002704,0.010694,-0.01523
3.06 sec,Standing,1.284613,-9.681235,0.135336,0.001259,0.007875,-0.015495
3.07 sec,Standing,1.281364,-9.638234,0.176854,-0.002548,0.005296,-0.016316
3.08 sec,Standing,1.270269,-9.617198,0.210812,-0.009876,0.00254,-0.019359
3.09 sec,Standing,1.269881,-9.608913,0.186627,-0.016054,-0.002391,-0.017023
3.1 sec,Standing,1.267741,-9.646884,0.223575,-0.022074,-0.012721,-0.015773
3.11 sec,Standing,1.282027,-9.667538,0.186699,-0.02326,-0.013897,-0.014198
